"Season","Squad","Comp","Player","Nation","Pos","Age","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G+A","G_minus_PK","PK","PKatt","CrdY","CrdR","xG_Expected","npxG_Expected","xAG_Expected","npxG+xAG_Expected","PrgC_Progression","PrgP_Progression","PrgR_Progression","Gls_Per_Minutes","Ast_Per_Minutes","G+A_Per_Minutes","G_minus_PK_Per_Minutes","G+A_minus_PK_Per_Minutes","xG_Per_Minutes","xAG_Per_Minutes","xG+xAG_Per_Minutes","npxG_Per_Minutes","npxG+xAG_Per_Minutes","PlayerURL","MP","Current_Player"
"2021-2022","Barcelona","La Liga","Sergio Busquets","ESP","MF","33",36,36,3198,35.5,2,0,2,2,0,0,12,0,0.6,0.6,1.7,2.3,24,291,36,0.06,0,0.06,0.06,0.06,0.02,0.05,0.07,0.02,0.07,"https://fbref.com/en/players/5ab0ea87/Sergio-Busquets",NA,"No"
"2021-2022","Barcelona","La Liga","Marc-André ter Stegen","GER","GK","29",35,35,3150,35,0,0,0,0,0,0,3,0,0,0,0.1,0.1,0,2,0,0,0,0,0,0,0,0,0,0,0,"https://fbref.com/en/players/6f51e382/Marc-Andre-ter-Stegen",NA,"Yes"
"2021-2022","Barcelona","La Liga","Jordi Alba","ESP","DF","32",30,30,2644,29.4,2,10,12,2,0,0,11,0,1.5,1.5,7.1,8.7,47,291,213,0.07,0.34,0.41,0.07,0.41,0.05,0.24,0.29,0.05,0.29,"https://fbref.com/en/players/4601e194/Jordi-Alba",NA,"No"
"2021-2022","Barcelona","La Liga","Frenkie de Jong","NED","MF","24",32,30,2476,27.5,3,3,6,3,0,0,7,1,4.8,4.8,3.4,8.2,78,206,121,0.11,0.11,0.22,0.11,0.22,0.18,0.12,0.3,0.18,0.3,"https://fbref.com/en/players/1bacc518/Frenkie-de-Jong",NA,"Yes"
"2021-2022","Barcelona","La Liga","Gavi","ESP","MF,FW","16",34,28,2316,25.7,2,5,7,2,0,0,11,1,3.6,3.6,3.2,6.8,72,115,160,0.08,0.19,0.27,0.08,0.27,0.14,0.12,0.26,0.14,0.26,"https://fbref.com/en/players/19cae58d/Gavi",NA,"Yes"
"2021-2022","Barcelona","La Liga","Ronald Araújo","URU","DF","22",30,25,2272,25.2,4,0,4,4,0,0,6,0,1.5,1.5,1.2,2.8,30,91,14,0.16,0,0.16,0.16,0.16,0.06,0.05,0.11,0.06,0.11,"https://fbref.com/en/players/2bef2bca/Ronald-Araujo",NA,"Yes"
"2021-2022","Barcelona","La Liga","Gerard Piqué","ESP","DF","34",27,25,2092,23.2,1,0,1,1,0,0,10,1,1.6,1.6,0.5,2.1,25,132,4,0.04,0,0.04,0.04,0.04,0.07,0.02,0.09,0.07,0.09,"https://fbref.com/en/players/adfc9123/Gerard-Pique",NA,"No"
"2021-2022","Barcelona","La Liga","Eric García","ESP","DF","20",26,23,2039,22.7,0,0,0,0,0,0,5,1,0.2,0.2,0.1,0.3,36,137,3,0,0,0,0,0,0.01,0,0.01,0.01,0.01,"https://fbref.com/en/players/2bed3eab/Eric-Garcia",NA,"Yes"
"2021-2022","Barcelona","La Liga","Memphis","NED","FW","27",28,20,1851,20.6,12,2,14,8,4,5,3,0,11.2,7.3,4.4,11.7,83,72,239,0.58,0.1,0.68,0.39,0.49,0.54,0.21,0.76,0.35,0.57,"https://fbref.com/en/players/8f696594/Memphis",NA,"No"
"2021-2022","Barcelona","La Liga","Sergiño Dest","USA","DF,FW","20",21,17,1512,16.8,0,3,3,0,0,0,2,0,1.1,1.1,2.5,3.7,75,81,158,0,0.18,0.18,0,0.18,0.07,0.15,0.22,0.07,0.22,"https://fbref.com/en/players/5976f83e/Sergino-Dest",NA,"No"
"2021-2022","Barcelona","La Liga","Ferrán Torres","ESP","FW","21",18,17,1412,15.7,4,4,8,3,1,1,1,0,7,6.2,3.1,9.4,34,53,215,0.25,0.25,0.51,0.19,0.45,0.45,0.2,0.65,0.4,0.6,"https://fbref.com/en/players/9e1035f8/Ferran-Torres",NA,"Yes"
"2021-2022","Barcelona","La Liga","Ousmane Dembélé","FRA","FW","24",21,15,1409,15.7,1,13,14,1,0,0,3,0,2.6,2.6,8.3,10.9,128,70,201,0.06,0.83,0.89,0.06,0.89,0.17,0.53,0.7,0.17,0.7,"https://fbref.com/en/players/b19db005/Ousmane-Dembele",NA,"No"
"2021-2022","Barcelona","La Liga","Dani Alves","BRA","DF","38",14,13,1098,12.2,1,3,4,1,0,0,2,1,0.3,0.3,2.3,2.5,33,72,25,0.08,0.25,0.33,0.08,0.33,0.02,0.19,0.21,0.02,0.21,"https://fbref.com/en/players/c9e99e49/Dani-Alves",NA,"No"
"2021-2022","Barcelona","La Liga","Pierre-Emerick Aubameyang","GAB","FW","32",17,13,1082,12,11,1,12,11,0,0,0,0,7.8,7.8,1.1,8.9,16,16,79,0.91,0.08,1,0.91,1,0.65,0.09,0.74,0.65,0.74,"https://fbref.com/en/players/d5dd5f1f/Pierre-Emerick-Aubameyang",NA,"No"
"2021-2022","Barcelona","La Liga","Nicolás González","ESP","MF","19",27,12,1114,12.4,2,1,3,2,0,0,6,0,1.4,1.4,0.8,2.2,37,65,45,0.16,0.08,0.24,0.16,0.24,0.11,0.07,0.18,0.11,0.18,"https://fbref.com/en/players/2c56a792/Nicolas-Gonzalez",NA,"No"
"2021-2022","Barcelona","La Liga","Pedri","ESP","MF","18",12,10,885,9.8,3,1,4,3,0,0,0,0,1.3,1.3,1.2,2.5,23,84,42,0.31,0.1,0.41,0.31,0.41,0.13,0.12,0.25,0.13,0.25,"https://fbref.com/en/players/0d9b2d31/Pedri",NA,"Yes"
"2021-2022","Barcelona","La Liga","Óscar Mingueza","ESP","DF","22",19,9,894,9.9,0,1,1,0,0,0,2,0,0.3,0.3,0.9,1.2,13,43,40,0,0.1,0.1,0,0.1,0.03,0.09,0.12,0.03,0.12,"https://fbref.com/en/players/056269d7/Oscar-Mingueza",NA,"No"
"2021-2022","Barcelona","La Liga","Clément Lenglet","FRA","DF","26",21,7,826,9.2,0,1,1,0,0,0,4,0,0.2,0.2,0.3,0.5,19,80,1,0,0.11,0.11,0,0.11,0.02,0.04,0.05,0.02,0.05,"https://fbref.com/en/players/4f28a6ff/Clement-Lenglet",NA,"No"
"2021-2022","Barcelona","La Liga","Luuk de Jong","NED","FW","30",21,6,654,7.3,6,0,6,6,0,0,1,0,4.6,4.6,0.2,4.8,4,9,48,0.83,0,0.83,0.83,0.83,0.63,0.03,0.67,0.63,0.67,"https://fbref.com/en/players/abb3bb95/Luuk-de-Jong",NA,"No"
"2021-2022","Barcelona","La Liga","Abde Ezzalzouli","MAR","FW","19",10,6,580,6.4,1,0,1,1,0,0,4,0,1.3,1.3,0.9,2.2,47,8,76,0.16,0,0.16,0.16,0.16,0.2,0.14,0.33,0.2,0.33,"https://fbref.com/en/players/bed68338/Abde-Ezzalzouli",NA,"Yes"
"2021-2022","Barcelona","La Liga","Philippe Coutinho","BRA","MF,FW","29",12,5,503,5.6,2,0,2,1,1,1,1,0,3.1,2.3,0.3,2.5,22,35,49,0.36,0,0.36,0.18,0.18,0.55,0.04,0.6,0.41,0.46,"https://fbref.com/en/players/0ef89a37/Philippe-Coutinho",NA,"No"
"2021-2022","Barcelona","La Liga","Sergi Roberto","ESP","MF,DF","29",9,4,400,4.4,2,1,3,2,0,0,1,0,1.5,1.5,0.4,1.9,6,15,15,0.45,0.23,0.68,0.45,0.68,0.33,0.1,0.43,0.33,0.43,"https://fbref.com/en/players/335fa267/Sergi-Roberto",NA,"Yes"
"2021-2022","Barcelona","La Liga","Adama Traoré","ESP","FW","25",11,4,382,4.2,0,2,2,0,0,0,0,0,0.7,0.7,0.9,1.6,34,10,55,0,0.47,0.47,0,0.47,0.16,0.21,0.37,0.16,0.37,"https://fbref.com/en/players/9a28eba4/Adama-Traore",NA,"No"
