"Competition_Name","Gender","Country","Season_End_Year","Squad","Team_or_Opponent","Num_Players","Age","Poss","MP_Playing_Time","Starts_Playing_Time","Min_Playing_Time","Mins_Per_90_Playing_Time","Gls","Ast","G_plus_A","G_minus_PK","PK","PKatt","CrdY","CrdR","Gls_Per_Minutes","Ast_Per_Minutes","G_plus_A_Per_Minutes","G_minus_PK_Per_Minutes","G_plus_A_minus_PK_Per_Minutes","xG_Expected","npxG_Expected","xAG_Expected","npxG_plus_xAG_Expected","PrgC_Progression","PrgP_Progression","xG_Per_Minutes","xAG_Per_Minutes","xG_plus_xAG_Per_Minutes","npxG_Per_Minutes","npxG_plus_xAG_Per_Minutes"
"La Liga","M","ESP",2010,"Barcelona","team",24,26.3,NA,38,418,3420,38,95,56,151,92,3,3,78,5,2.5,1.47,3.97,2.42,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2010,"Real Madrid","team",25,25.1,NA,38,418,3420,38,102,53,155,95,7,8,91,5,2.68,1.39,4.08,2.5,3.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2011,"Barcelona","team",28,26.5,NA,38,418,3420,38,94,73,167,89,5,5,72,2,2.47,1.92,4.39,2.34,4.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2011,"Real Madrid","team",32,25.5,NA,38,418,3420,38,100,67,167,89,11,12,102,8,2.63,1.76,4.39,2.34,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2012,"Barcelona","team",29,26.6,NA,38,418,3420,38,112,69,181,102,10,11,81,4,2.95,1.82,4.76,2.68,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2012,"Real Madrid","team",25,26.1,NA,38,418,3420,38,120,85,205,108,12,13,97,5,3.16,2.24,5.39,2.84,5.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2013,"Barcelona","team",25,26.6,NA,38,418,3420,38,112,91,203,108,4,5,60,2,2.95,2.39,5.34,2.84,5.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2013,"Real Madrid","team",31,26.9,NA,38,418,3420,38,100,71,171,92,8,10,97,5,2.63,1.87,4.5,2.42,4.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2014,"Barcelona","team",25,27.4,NA,38,418,3420,38,96,71,167,85,11,13,71,0,2.53,1.87,4.39,2.24,4.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2014,"Real Madrid","team",25,26.4,NA,38,418,3420,38,103,78,181,97,6,6,76,0,2.71,2.05,4.76,2.55,4.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2015,"Barcelona","team",24,27.7,65.7,38,418,3420,38,107,79,186,101,6,7,69,0,2.82,2.08,4.89,2.66,4.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2015,"Real Madrid","team",24,26.4,56.2,38,418,3420,38,116,91,207,105,11,13,87,0,3.05,2.39,5.45,2.76,5.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2016,"Barcelona","team",25,28,67.1,38,418,3420,38,109,74,183,98,11,19,67,1,2.87,1.95,4.82,2.58,4.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2016,"Real Madrid","team",24,26.5,57.3,38,418,3420,38,108,86,194,102,6,9,75,5,2.84,2.26,5.11,2.68,4.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2017,"Barcelona","team",25,26.9,66.1,38,418,3420,38,113,71,184,105,8,9,75,1,2.97,1.87,4.84,2.76,4.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2017,"Real Madrid","team",24,27,56.2,38,419,3420,38,106,83,189,100,6,8,76,2,2.79,2.18,4.97,2.63,4.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"La Liga","M","ESP",2018,"Barcelona","team",25,27.7,62.8,38,418,3420,38,96,74,170,93,3,5,67,2,2.53,1.95,4.47,2.45,4.39,83.5,80.1,64.6,144.7,1025,2151,2.2,1.7,3.9,2.11,3.81
"La Liga","M","ESP",2018,"Real Madrid","team",24,27.1,60.2,38,418,3420,38,91,65,156,83,8,10,67,4,2.39,1.71,4.11,2.18,3.89,85.4,77.5,62.8,140.2,1131,2383,2.25,1.65,3.9,2.04,3.69
"La Liga","M","ESP",2019,"Barcelona","team",30,27.7,64.4,38,418,3420,38,88,61,149,80,8,9,77,2,2.32,1.61,3.92,2.11,3.71,75.8,68.7,55.8,124.6,851,2110,1.99,1.47,3.46,1.81,3.28
